page_number,content
125,"Peppa Pig 第三季
01 Work and Play
It is a lovely sunny morning.
Ah! What a nice day for doing nothing!
Daddy pig loves doing nothing.
Daddy, aren’t you going to work today?
No, Peppa, it’s Saturday.
Daddy pig doesn’t work on Saturdays.
Daddy pig, you’ll be late for work!
But it is Saturday, mummy pig, isn’t it?
No. It’s Thursday!
Oh!
Daddy pig works on Thursdays.
See you later.
Bye bye.
Poor daddy, having to work! Lucky
mummy, you can play at home all day.
I’m not playing.
I’m working on my computer.
George wants to play
the Happy Mrs. Chicken game.
George, we can play the Happy
Mrs.chicken game after I finish my work.
Oh.
Mummy sheep and Suzy have
come to pick up Peppa for playgroup.
Hello Peppa!
Hello Suzy!
Have a good day at the play group.
Bye bye mummy. Work hard…
Mrs. Sheep,
do you work or do you play?
I’m going to be working very
hard today…I’m off to the gym.
What do you do at the gym?
Running, jumping and skipping.
Mummy, that’s not work. That’s play.
Peppa and Suzy have
arrived at the play group.
Hello everyone!
Hello Peppa, hello Suzy!

Today,we would play shops!
Woo!
Who wants to be shopkeeper?
Me, me, me!
Peppa and Suzy can be shopkeepers.
Everyone else can be customers.
Peppa and Suzy are
going to run a pretend shop.
What do we have to do?
I’ll take the money Suzy
and you can start the shelves.
OK.
Danny dog is the first customer.
Hello shopkeeper.
Hello Mr. Dog.
Can I have some biscuits please?
Suzy, have we got any biscuits?
No, but we’ve got a toy telephone.
How much will that be?
That will be a hundred pounds please…
Thank you. Next please.
Hello shopkeeper, can I
have a loaf of bread please?
No, but you can have a toy house.
Would you like it in a bag, sir?
Yes, please.
That will be one of penny please.
Oh, I haven’t got enough money.
You can pay us next time
you come in. Gosh! This is hard work.
Yes!
Hello shopkeeper! What can I buy for
a million thousand pounds please?
Suzy, what have we got
for a million thousand pounds?
Em…a carrot.
Yes, please.
Rebecca Rabbit likes carrots.
It is home time.
Daddy pig has
come to collect Peppa and Suzy.
Daddy, have you had a busy day?
Yes, I’ve been working very hard.
We’ve been working very hard too.
We’ve been shopkeepers.
Blah, blah,blah, .....The end and print."
126,"play one game of Happy Mrs. Chicken.
We’ve earned it.
Naughty mummy! You
are playing Happy Mrs. Chicken.
Ah, that’s because George and I have
finished our work, haven’t we George?
We’ve all finished
our work, so let’s all play
02 The Rainbow
Peppa and her family are
going for a drive to the mountains.
Are we nearly there yet?
Not yet, Peppa.
Oh…
let’s play a game.
We each have to
spot a car of our favorite color.
My favorite color is green.
Mine is orange.
Mine is red. George,
what’s your favorite color?
Blue.
George’s favorite color is blue.
Let’s see which color car comes along first.
Ok!
Here is Candy Cat in her green car.
Ho, ho, ho…green!
That’s my favorite color. I win!
Hello, Candy!
Meow! Hello, Peppa!
Here is Danny Dog in
Granddad Dog’s breakdown truck.
Orange, so I win!
Hello, Danny!
Woof, woof, hello, Peppa!
Ho, ho, ho. Here is another car.
It’s Suzy. Hello, Suzy!
Baa, baa. Hello, Peppa.
Blue!
Yes, George. It’s a blue car, so you win!
Ho, ho, ho.
Oh, this is a silly game.
There isn’t any red car anyway?
There is one red car, Peppa.

Ho, ho, ho…What color is our car?
Ah, it’s red. I win! I win!
Ho, ho, ho…
The family have arrived at the mountains.
We’ll have a fantastic
view when we get to the top.
We are here.
Great!
Look at the lovely Sunny view!
Oh, dear. It is started to rain.
Where is the lovely view?
Ah, there is the lovely view.
It’s Miss Rabbit’s ice cream store.
Hello, Miss Rabbit!
Hello, Daddy Pig!
Four ice creams, please!
What flavors would you like?
Mint, orange,
strawberry and blueberry, please.
OK!
Look what I’ve got!
Icecream!
There are favorite colors.
That’s right. Green for me!
Orange for me!
Strawberry red for me!
And George’s is…
Blue!
Ho, ho, ho…yummy
Look, the sun has come out!
And look what else has come out?
A rainbow!
Peppa and George love rainbows!
A rainbow only comes out when
it’s rainy and sunny at the same time!
Wow…
It’s got all our favorite colors in it.
Yes. Red, and orange, and green, and blue.
And do you know what you
find in the end of the rainbow?
No!
You find treasure.
Oh, can we go to find the treasure now?
OK! The end of the rainbow
looks like just on the next hill.
Let’s go. Wee."
127,"Rainbow, rainbow, red and orange
and yellow and green and purple and blue.
Rainbow, rainbow.
It’s a rainy sunny day!
Here we are!
Oh, where are the rainbow gone?
It’s moved to the next hill.
You tricky rainbow.
Quick! Let’s catch it.
Rainbow, rainbow, it’s a rainy sunny day!
It’s stopped raining!
And the rainbow is gone!
Waa…
Don’t worry, George. Maybe the
rainbow has left some treasure behind.
There is something over here.
Have you found the rainbow’s treasure?
Yes. I have.
A big muddy puddle!
Great!
This is the best rainbow treasure ever.
Ha, ha, ha…
03 Pedros Cough
It is a school day. Peppa and
her friends are having a music lesson.
Miss Polly had a dolly.
Sorry, Madame Gazelle.
Oh dear, Pedro has a cough.
Don’t worry. I’ll ring doctor Brown Bear.
Doctor Brown Bear, speaking.
Hello doctor, this is Madame Gazelle.
A child is ill.
Don’t panic. I’ll come straight away.
What seems to be the problem?
I’ve got a cough.
I see. Is it a tickly
cough or a chesty cough?
I don’t know, but it goes like this.
And when did you get this cough?
When Madame Gazelle started singing.
It’s nothing serious,
but Pedro’s cough may be catching.
What do you mean “catching”?
When one person has a cough,

people get that cough, too.
Do I need medicine?
Just a little spoonful.
I’m afraid it doesn’t taste very nice.
It tastes like an old shoe full of jam.
Thank you Doctor Brown Bear.
Goodbye.
Bye.
As I thought, Pedro’s cough is catching.
Dannie Dog and Susie Sheep
have caught Pedro’s cough.
Open wide.
It tastes of cuppet flavored yogurt.
It tastes of flowers.
Well-done for taking your medicine so well.
Do you ever get ill, Doctor Brown Bear?
No, Peppa. I’m never ill.
I eat an apple a day. Goodbye.
Bye.
It is home time,
and the children’s parents
are here to pick them up.
Mummy, daddy, I’ve got a cough.
Doctor Brown Bear came to look after us.
He gave us horrible medicine.
Madame Gazelle,
can you sing your song now?
Of course, Peppa. (music) Wooo…
Miss Polly had a dolly who was…
Oh, dear, all the grown-ups
have got Petro’s cough.
Doctor Brown Bear speaking.
This is Peppa pig.
All the grown-ups are ill.
Not to worry, Peppa. I’m on my way.
Hello, everyone. Caught
Petro’s cough, have we?
Very well. Stand in a line and open wide.
It tastes like custard and old socks.
Thank you for looking after
us, Doctor Brown Bear.
Who looks after you when you’re ill?
No one looks after me. I’m never ill.
Oh, dear. Doctor Brown Bear
has caught Petro’s cough.
Not to worry, goodbye."
128,"and there is no one to look after him. Oh.
Who can that be?
Hello, we’ve come to look after you.
Here is some fruit and some cushions.
Here is your medicine.
It tastes like
jammy-yogurt-flavored custard socks.
And here is a song to
make you feel better. Woooooo…
04 The Library
It is bed time.
Good night Peppa, good night George.
Can I have a story, please?
Ok. I will read you the Red Monkey book.
But we always have that one,
the Red Monkey has a bath,
cleans his teeth and goes proceed.
Eh …yes,can we do another story.
the blue tiger, the green spider,
the orange penguin, oh what’s this one?
The wonderful world of concrete.
I’ve been looking for that!
Is it your book Daddy?
It’s a book I borrowed from the library
What’s the library
It’s a place you borrow books from
and when you finish
reading them, you take them back.
But daddy pig has
forgotten to take this book back.
I have had it for rather a long time.
Never mind,you can take it back
tomorrow, but now it’s bed time.
After Dad reads this story.
It’s not much of the story, Peppa
please read it, daddy.
Ok. The wonderful world of concrete.
Concrete is a construction
material composed of sand,
water and chemical
admixtures. Chapter one, sand.
Peppa, George and
Mommy Pig have fallen asleep.
It is the morning, Peppa and her

Wow what’s a lot of books
Peppa you
must be quiet in the library.Why ?
Because people come
here to read and to be quiet.
Next please!
Miss rabbit is the librarian.
Hello Mommy Pig, are
you returning these books?
Yes, Miss Rabbit.
Right you are.
Why is the computer beeping?
It’s checking to see that you haven’t been
naughty in borrowing the book for too long.
I may have borrowed
this book for a bit too long.
Don’t worry, Daddy Pig,
it cannot be that bad.
Gosh, Daddy Pig you’ve had
this book out for ten years!
Naughty daddy! Sorry Miss rabbit.
That’s all right,now
you can borrow another book.
Miss rabbit, can George
and I borrow a book please?
Yes, the children section is over here.
Oh look, fairies, flowers, pretty dresses …
Hello Peppa,Hello, Danny.
I am borrowing book about football
Hello, Peppa!
Hello, Suzy!
I got a book about nursing.
George has chosen a book
about dinosaurs.Dinosaur, gee!
Look what I’ve found, Further
Adventures in the World of Concrete!
Here is a red monkey book.
Not the red monkey book. It’s boring!
But this is a different story.
It might be more fun.
I bet it’s not.
Once upon a time ,
there was a red monkey.
Oh. He had a bath,
cleaned his teeth and went to bed.
No, he jumped into a"
129,"swam under the sea
and climbed the highest mountain.
That was a busy day. The end.
Wow! Read it again.
We can borrow it
and read it at home, Peppa.
But I was going to
choose this book or this one.
You can take three
books home if you want, Peppa.
Yippee!
But you must remember
to bring them back on time.
Yes, Miss Rabbit.
And you must remember
to bring your book back, too, Daddy pig.
I’ll make sure daddy remembers.
Yes Peppa .I’m sure you will. Ho ho.
05 The Camper Van
Peppa and George are very
excited today.They are going on holiday.
oh where is daddy?
He is bringing a secret surprise.
What’s that?
It’s a camper van.
We’ve borrowed it for a holiday.
This camper van has everything.
This button works the sink.
Wow!
And this button works the TV.
What does this button do?
I am not sure. Maybe
don’t press it until we know.
Is everybody ready to go on holiday?
Yes mummy pig.
Then let’s go!
We are going on holiday in a camper van.
Hohoho
En, this map is a bit tricky.
Daddy, we don’t want to get lost.
Don’t worry, Peppa. I’m an expert
in map reading. Oh, that’s strange.
Are we lost?
Err yes.

Hello Peppa,
Hello Danny. We’re lost.
Lost? Is your sat navi broken?
sat navi?
You are driving a camper van T32 hundred,
set navi comes a standard.
Welcome to the car of the future.Ah,
so that’s what that button does.
Where are we going today?
The camper van is talking.
clever isn’t it. The
computer’s voice helps you find your way.
But how does
it know where we want to go?
You tell it.
Hello Mrs camper van.
Hello.
We’re going on a holiday.
Can you tell us the way?
Proceed on
the current road in a straight line.
Thanks for your help, Granddad dog.
You are welcome. Have a lovely holiday!
We’re going on a holiday in a camper van.
Danger, danger, oil is low.
What’s oil?
Oil helps engines to run smoothly.
Will the oil run out?
No, these warnings
always give you plenty of time.
Oil is gone.
Oh dear.
Luckily I’ve got a spare can of oil.
Well done, Daddy pig.
We simply pour
the oil into the engine and oh …
What’s wrong?
There’s nothing in here.
The engine’s gone.
It’s mummy sheep with Suzy sheep.
Hello Suzy!
Hello Peppa!
We’ve lost our engine.
Lost your engine?
Yes, it’s completely disappeared.
I’d like to help, but I don’t"
130,"but this looks a bit like an engine?
Ah, yes, well-spotted Mummy sheep.
The camper van has its engine at the back.
There, that should be enough oil.
Thank you Mummy sheep!
You are welcome. Have a lovely holiday!
Are we near there yet?
Just up the next hill. You
have reached your destination.
Hooray!
Time for bed.
Where will we sleep?
Mummy pig and I will sleep on this bed.
And you two will sleep upstairs.
But there isn’t an upstairs.
watch this.
The camper van’s roof is lifting up.
The camper van is just like our little house.
While we are on holiday,
it is our little house.
Goodnight my little piggies.
Goodnight.
06 Camping Holiday
Peppa's family are on a
holiday in their camp van.
Good morning, my little piggies.
Good morning, Daddy pig.
I love camping.
Since we are in the countryside, I thought
we can spend the day looking at nature.
Good idea! Mummy pig.
Let's watch a nature program.
One of the wonders of nature--Birds
How lovely.
Aha aha...
Shoo, shoo, little birdy,
we can't hear our TV.
Oh! Daddy Pig, there is no point being on
a camping holiday and just watching TV.
We can do that at home.
Hum... Good thinking, Mummy Pig.
There're lots of fun places
we can visit. There's tree world.
What's tree world?

It sounds a bit boring.
Or there is potato city?
What's potato city?
There's a tour with potato
fields ending with a potato tasting.
Sounds interesting.
Or there is Duckland.
What's Duckland?
It's a wide river full of ducks.
Duckland! Let's go to Duckland.
Peppa and George love ducks.
How do we get to Duckland?
Camp van can guide us.
Hello! Where are we going today?
Duckland, please.
Follow the road ahead in a straight line.
We’re going to Duckland in a camp van.
Welcome to Duckland.
How many tickets please?
Two adults and two children.
Enjoy the ducks.
Where are the ducks?
Maybe they are on holiday.
Let's have our picnic lunch.
The ducks always turn up...
When we have picnics.
Peppa and George love picnics.
Look! It's the duck. Stop daddy.
We need bread for the ducks.
Hoho, all right.
Hello Mrs. Duck!
Here come more ducks.
All the brothers and sisters are here.
And here come more ducks.
It's a Grammy and a Grandpa ducks.
And here are all the aunties and uncles.
That's the last of our picnic gum.
Ducks, say thank you to daddy pig.
You are most welcome.
I love Duckland.
It is time to go home.
I wonder what's the shortest way home.
Drive straight ahead into the river.
Oh! Are you sure?
Yes, drive into the river.
But we can't drive in the river."
131,"The camper van is driving into the river.
Our camper van has turned into a boat.
I wasn't quite expecting that.
Welcome to the car of the future.
Look! It's granddad dog and Danny dog.
Ahoy, there! Daddy pig.
Ahoy, there.
Sailing on a river in a camper van.
Drive up the next hill.
You have reached your destination.
We are home.
Thank your for your lovely
holiday Mrs. Camper van.
Your are most welcome.
It's nice going on a holiday but it's
nicer to be backing our own little house.
Goodnight my little piggies.
Goodnight.
07 Compost
Daddy pig is making
vegetable soup for lunch.
Daddy, can I help?
Thank you, peppa. Can you clear
away all these vegetable peelings?
Ok.
Stop, peppa. Vegetable
peelings don’t go in the normal bin.
They go in this brown bin.
Ooh
Banana
That’s right, george. It’s a banana skin.
And there are onions and carrots and all
sorts of fruit and vegetable leftovers in here.
Granny and grandpa will like these
Do granny and grandpa
pig eat potato peelings?
Hahaha. No, peppa.
They’re for grandpa’s garden.
They help his plants grow.
Oh!
We can take these round there after lunch.
Oh, goody.
Hehehe…
Mummy pig peppa and george

over to granny and grandpa pigs house.
We are here.
Hurray!
Grandpa pig, grandpa egg.
We’ve got a special present for you.
Ah. Vegetable peelings.
Fantastic.
My garden will like these.
Does your garden eat vegetables?
Hoho. No peppa. These
peelings are for my compost heap.
What’s that?
I’ll show you. Here it is.
It’s a wooden box.
Yes, peppa. But it’s a
very clever wooden box.
I put these peelings in the top and then
out of the bottom comes lovely rich earth
Called ‘compost’
How does it do that? Is it a magic box?
Hoho. No, peppa. I’ve got some
little friends that give it some help.
Where?
In here. Look
Ah. Wriggly worm.
Wiggle, wiggle.
The worms turned all the fruit
and vegetables into compost.
Grandpa, can we find some more
wriggly worms for your composting?
What a good idea!
Come on, george. Let’s find
some more wriggly worms.
A wriggly worm.
Wiggle! Wiggle!
You are a wiggly worm.
How do you do? I love you.
You are a wiggly worm.
Haha! Well done!
Be a good wiggly worm.
And turn it all into compost.
Then, I can use the compost to…
I know, I know. You put a seed
in the ground,cover it in compost
And then it grows into a tree.
Hoho. Yes, peppa."
132,"She’s collecting fruit in the orchard.
What’s the orchard?
It’s where you find fruit trees.
We’ve had this orchard
since i was a little piggy.
Hehe
Hello, granny pig.
Ganny pig.
Are you going to help
me collect some apples?
Yes, granny. Oh, the
apples are too high up.
Don’t worry, peppa.
Granny and grandpa have
a little trick to collect the apples.
Everybody hold on to the tree
On the count of three,
shake the tree as much as you can.
One, two, three!
It’s raining apples!
Haha
Granny, can we have an apple please?
Of course, peppa.
Mm…delicious
And can you guess what
we do with the apple cores?
Eh..
Wiggle, wiggle!
That’s right. The apple cores go
into the compost for the worms.
Clever george.
And clever wiggly worms, too.
08 Richard Rabbit Comes to Play
Peppa and George
are playing in their bedroom.
This will be the best house ever!
George, Richard Rabbit is here.
George!
Richard!
Dinosaur！
Bye bye, Richard.
I'll be back to pick you up later!
George and Richard are best friends.
George！Richard！

Please play something not bouncy.
Ha ha ha!
George has made
the toy basket into a volcano.
Richard is using toy trees to make a jungle.
George has used
building blocks to make a river.
Dinosaur! Dinosaur!
George and Richard have
turned the bedroom into dinosaur land.
I leave it. It's too noisy.
I say potato. And I say potato.
Potato! Potato! Potato! Potato!
The good thing about rainy days is
we get to watch important TV programs.
Potato! Potato! Potato!
Mommy, George and Richard
have made the bedroom into dinosaur land.
And dinosaur land is very noisy.
George has his best friend here,
but I've got no one to play with.
You could ask Susie Sheep to come over.
Susie Sheep is Peppa's best friend.
Can Susie really come over now?
Let's ring her.
Mie! Hello, Susie Sheep's speaking.
Susie, it's me.
Can you come to my house now?
Yes, Peppa!
Can I wear my nurse's costume?
Yes, but come quickly.
Bye bye, Susie!
I'll be back… to pick you up later.
George! Richard! Nurse Susie is here.
And nurse Susie
says this is not dinosaur land.
It's a hospital.
And a hospital must be clean and tidy.
The bedroom is not
dinosaur land anymore. It is a hospital.
I am an important doctor.
This dinosaur looks sick.
I agree, doctor.
He's a very
greeny-ill color. He must go to bed.
And this dinosaur"
133,"Dinosaur!
Sh-sh！Quiet in the hospital.
Choo choo!
The bedroom is not a hospital any more.
Now it's a railway station.
No! No! There aren't any trains in fairyland.
Oh, now the bedroom is fairyland.
Only pretty things are allowed in fairyland.
What's all this crying about?
George and Richard
want to play dinosaurs and trains.
And we want to play hospitals and fairies.
Uh, I see the rain has stopped outside.
So?
So maybe you could all play outside.
But they like little boys' games.
And we like grown-up girls' games.
But after it's been raining in the garden,
what you normally find…
Muddy?
Puddles!
And what are muddy puddles for?
Jumping up and down in!
Everyone loves jumping up
and down in muddly puddles
whether they're big girls or little boys.
09 Fun Run
It has been very stormy
weather and the school roof is leaking.
How can we raise the
money to fix the school roof?
We could have a fun run.
What’s a funny run?
It’s a day for picnics and
giving money to see people run.
The more money you
give, the further they run.
Good idea, daddy pig!
How far can you run?
What? Eh…well,
I can run as far as you like.
But daddy, you can hardly run at all!
Nonsense! I am an expert at running!
Good. Does anyone else want to run?

But I will give money
to see daddy pig run!
I do!
And me!
Excellent! Thank you, daddy pig!
Peppa and her family are eating spaghetti.
Delicious! Is there any more spaghetti?
Daddy pig!
You’ve already had three things!
Eating gives me energy
And I need energy for my fun run.
If you also need a practice running.
What if I practice eating today
then practice running tomorrow?
No, daddy.
You need to practice running now.
Oh.
Come on daddy! Race you!
This is easy.
It is easy to run downhill.
It is hard to run uphill.
I don’t think I should’ve
eaten so much spaghetti.
It is the day of the fun run.
Madame Gazelle has a chart to
show how far daddy pig must run.
If daddy pig can run to here.
The supermarket!
Then to here
Granddad dog’s garage.
And all the way to here
Windy castle.
Then we will have enough
money to fix the school roof.
I will do it now. Ready, steady, go! ...
I did it! Now we can have the picnic.
Silly daddy! That is just a drawing.
Yes, now you must
run to the real windy castle.
ow
Ready, steady, go!
hooray!
Come on, daddy pig! You can make it!
Come on, bus! You can make it!
The school bus has
made it to the windy castle."
134,"What a lovely hot day!
It’s such a relaxing
way to raise money, too!
Water….
Daddy pig has reached the supermarket.
All running makes him very thirsty.
Let’s look through the telescope.
I can see daddy.
The telescope makes everything look closer.
He’s not going very fast.
Daddy pig has arrived
at Grand daddy dog’s garage.
That’s it. I can’t go on!
Daddy has stopped.
Oh.
You look rather hot.
You need something to cool
you down and give you energy.
Have an ice lolly.
Thank you!
Granddad dog. That’s nice…..
a wasp!
Shoo, shoo, get you away, you little pest.
The wasp wants to
share daddy pig’s ice lolly.
No, this is my lolly.
Daddy starts running again, really fast.
Hooray!
Oh..get off…
You can stop now, daddy pig.
We have enough
money to fix the school roof.
Ah …
Daddy pig has lost the wasp.
Well done. Daddy pig.
All that extra running means we’ve got
enough money for a new school bus tool.
Thank you, daddy pig.
You’re most welcome.
10 Washing
Daddy Pig is
doing the washing this morning.
Daddy, what’s that shirt?
It’s my football shirt.

Wow!
But first I have to go to work.
See you later! Bye!
Bye-Bye!
Poor Daddy, having to go to work.
Oh, poor Daddy!
Come on! Let’s play!
Yes, let’s play.
Peppa loves jumping
up and down in muddy puddles.
George loves jumping up
and down in muddy puddles.
Mummy Pig loves jumping up
and down in muddy puddles.
Oh, dear.Mummy! We
splashed daddy’s football shirt with mud.
Oh.Don’t worry! We’ll just wash it.
It will be washed in no time.And
daddy won’t know it was ever muddied.
Let’s find more
things to put in the machine.
Oh, my dress is a bit muddy.
Mummy Pig and George
have found more things to wash.
Very good, George.
We put the clothes in here.
And then we switch it down.
The washing machine is
filling up with hot,slippery water.
Splosh. Splosh. Splosh.
The washing machine is
makingthe whole room shake.
Oh, peppa, where’s your dress?
I am washing it.
What? Oh, no.
Look Mummy,
my red dress is all nice and clean.
Yes, Peppa.But look
what’ it done to everything else.
Oh Dear, Peppa’s white dress
has made all the white clothes pink.
Pink isn't a very
good color for a football shirt.
Oh.
Daddy Pig is home from work.
Hello, everyone."
135,"a bit of a problem and mm…
Tell me later, Mummy Pig.
I have to get ready for football.
Now, where’s my football shirt.
Here.
Don’t be silly, Peppa.That’s
one of Mummy’s dresses. It’s Pink.
No, Daddy. It’s your football shirt.
It’s got a bit muddy.
So we wash it.
And it all went a bit wrong. Sorry, Daddy.
But I can’t wear a pink football shirt.
Why not, Daddy? Pink is a lovely color.
What do you think George? yuk.
George does not like pink.
Here are Daddy Pig’s friends,
Mr. Bull, Mr. Rabbit,
Mr. Pony and Mr. Zebra.
Mm! this Daddy Pig comes at
a parade.He'll just be in a moment.
My team are in white.
I need a white shirt.
But Daddy, you have the white shirt.
Just take off your jacket. See?
Fantastic! Thank you, Peppa.
Hello, everyone.
Hello, Daddy Pig.
I like your shirt!
Very smart!
Thank you. Come on, let’s play football.
Yes!
Go!
Hurray!
Hurray!
Daddy, you’ve made your shirt all muddy!
Of course, Peppa.
Football shirts are meant to be muddy.
Daddy Pig loves playing football.
Everyone loves playing football,
especially when it’s muddy.
11 Pollys Boat Trip
Grandpa pig is taking
Peppa and George on a boat trip.
Polly parrot is going, too.

have you got your mobile phone?
Yes, granny pig.
Don’t drop it in the water.
No, granny pig.
Is it switched on？
Yes, granny pig.Bye!
Bye-bye!
Here is granddad dog.
Aha there.
Lovely day to go sailing.
I would go, too.
But my boat needs to clean.
I don’t know why you
bother cleaning that rusty boat.
I’m surprised it’s still afloat.
This rusty boat
will still be afloat long after
your old tin boat has
sunk to the bottom of the river.
Granddad dog is
grandpa pig’s very best friend.
Boat steam ahead! Goodbye!
I am the captain of this boat,
and when the captain tells you
to do something, you must do it.
Aye, aye Captain!
Aye, aye, Captain!
Polly parrot copies
everything that they said.
George, raise the flag.
George, raise the flag.
Peppa, ring the bell.
Grandpa, can I be the captain, please?
OK. But as a captain,
you must wear this hat.
Now Peppa is the captain, and
everyone must do what she says.
Ring the bell. Turn that wheel.
Aye aye, Captain Peppa.
Jump up and down.
Captain Peppa is a bit bossy.
Perhaps I should be the captain again.
We don’t want a crash into anything.
Steering the boat can be tricky Luckily,
I’m good at steering.
Oh dear. Grandpa pig’s boat"
136,"I’ll ring granny pig. She can get help.
Wow, oh. Grandpa pig has
dropped his phone in the water.
Granny pig speaking. Hello? Hello. Hello.
Somehow, we need to
get a message to granny.
Message to granny.
Polly can fly to granny.
Good idea, Peppa! And I
can teach Polly what to say.
Grandpa pig says,
Grandpa pig says,
Help, help!
There you see easy peasy.
Grandpa pig says easy peasy.
You silly old bird.
Hello, Polly. What are you doing here?
Grandpa pig says,
What does grandpa pig say?
You silly old bird.
Oh!
Help, help!
Goodness me, grandpa must need help!
Granddad dog.
Hello, granny pig.
Grandpa pig needs help.
Please, could you rescue him?
Madam, I would be delighted.
Hurray！
Aha there.
Do you need rescuing, captain?
En, maybe.
Would you like my rusty
old boat to rescue you?
Yes, please, granddad dog.
Catch this, captain.
Aye aye, skippe.
Granddad dog is
grandpa pig’s very best friend.
Granny, did Polly
tell you we needed help?
Yes, Polly is a very clever parrot.
Say I’m a clever parrot, woof woof!
I’m a clever parrot, woof woof!

12 Delphine Donkey
Hello, Daddy pig speaking.
Monsieur pig, comment allez-vous?
Oh. Something is wrong with the phone.
You see, the phone is talking nonsense.
That was Monsieur Donkey,
he was speaking French.
Ha, I thought as much.
Mummy, what did monsieur Donkey say?
He asked if little
Delphine Donkey could visit us.
Oh goody.
Delphine Donkey is Peppa’s
very special friend from France.
Delphine’s coming to
practice talking English with us.
Hooray~
We’d better hurry.
Delphine’s train is arriving any minute.
Last stop, all change.
That’s Delphine’s train!
Delphine!
Bonjour!
“Bonjour” means “Hello” in French.
Bonjour~
Bonjour.
Bonjour Mr. Donkey.
My goodness,
is that huge case for Delphine?
Yes, Delphine has brought
a few little things for her visit.
Things you do not have over here
cheese, bread, tomatoes, water…
Au revoir, Delphine. I’ll be back
to pick you up tomorrow night.
Where should I put Delphine’s luggage?
In my room, at the very top of the house.
Oh.
And this luggage
is for one night stay?
Oh yes, that is why
I only pack a little bag.
Oh.
Now, Delphine is here
to practice talking English,"
137,"Yes, mummy.
First, I must say sorry,
I do not speak English very well.
You don’t speak too badly.
You are very kind, Monsieur Pig.
But may I ask you a
question about talking English?
Of course, I am an
expert at taking. Ask away.
Are English split infinitives a form
of irregular verb, or past pronoun?
Uh…
Actually it’s quite late,
shall we set up Delphine’s bed?
Mummy, mummy, can Delphine sleep
in my bed, with a pillow at each end?
Good idea, Peppa.
Peppa and Delphine are
sleeping at each end of the same bed.
Now children, try to go to sleep.
You’ll get a busy day tomorrow
Delphine is visiting your play group.
aWow.Dormez bien.
Dormez bien is French for “sleep well”
I’m not sleepy at all.
Let’s sing a little song to make us sleepy.
Yes.
Delphine’s pretty French
song has sent everyone to sleep.
Delphine has come to Peppa’s play group.
Madame Gazelle, this is my
French friend- Delphine Donkey.
Bonjour.
Ah, bonjour Delphine.
Delphine sang a pretty French song last
night. Can we teach her an English song?
How about “The Bing-bong Song”?
Yes, sing me this “Bing-bong song”.
It would be good for my English.
Ok. Wu~~
Good, I have learnt lots of English words.
13 The Fire Engine
Mummy pig is dressed as a fireman.
Mummy, why are you dressed like that?

mummy’s fire engine practice.
wow
This is just a good excuse
for a cup of tea and a chat.
Well, what are you
doing today, daddy pig?
I’ve got a very important meeting
with the daddy’s football team.
That’s just a lot of grown- up
boys kicking a football around.
We are having a barbecue as well.
Here are Mr. Bull, Mr. Rabbit,
Mr. Pony and Mr. Zebra.
Moo, is Daddy pig coming out to play?
Come on!
Mummy, can we see the fire engine?
Yes!
Oh, goodie!
This is Miss. Rabbit’s fire station.
Hello, Peppa and George.
Come and see the fire engine.
Fire engine!
There is a ladder for climbing, a hose
for squirting water,and a big bell to ring.
Dingdong dingdong!
Now, let’s go up to the
tower and look for fires.
Hello, everyone.
Hello, Peppa! Hello, George.
Oh, who’s for a nice cup of tea and a chat?
That sounds nice.
A telephone!
Peppa, that is the fire phone.
It’s only to be used when there is a fire.
Ah, fire! Fire!
Fire station, where is
the fire? Where is the fire?
Can I speak to Mummy pig, please?
Oh, it’s Daddy pig.
Daddy pig, you are not supposed to ring
on this phone.It’s only for emergencies
This is an emergency.I can’t find
the tomato ketchup anywhere.
Daddy pig, shall I start to barbecue now?
Yes, please, Mr. Rabbit.
Do be careful with the"
